OBJECTID,GEO.id,acs_ma,acs_tp,acs_tpp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
244,1400000US51510200107,31.4,5089,5089,2329,45.8,2760,54.2,724,14.2
245,1400000US51510200301,30.8,2745,2745,1275,46.4,1470,53.6,821,29.9
246,1400000US51510200405,31.9,6658,6658,2922,43.9,3736,56.1,2535,38.1
247,1400000US51510200500,31.8,4207,4207,2010,47.8,2197,52.2,1707,40.6
248,1400000US51510200600,36.3,4607,4607,2188,47.5,2419,52.5,1288,28.0
249,1400000US51510200701,30.0,746,746,366,49.1,380,50.9,30,4.0
250,1400000US51510200702,35.4,3013,3013,1652,54.8,1361,45.2,267,8.9
251,1400000US51510200900,37.8,4923,4923,2299,46.7,2624,53.3,37,0.8
252,1400000US51510201204,35.3,2685,2685,1462,54.5,1223,45.5,867,32.3
253,1400000US51510201600,35.1,4641,4641,2136,46.0,2505,54.0,1791,38.6
254,1400000US51510202001,48.5,1961,1961,954,48.6,1007,51.4,19,1.0
255,,,,,,,,,,
256,1400000US51610500300,41.2,3490,3490,1763,50.5,1727,49.5,12,0.3
257,1400000US51059415200,44.9,3110,3110,1347,43.3,1763,56.7,48,1.5
258,1400000US51059415300,38.1,4087,4087,1862,45.6,2225,54.4,607,14.9
259,1400000US51059415402,45.0,2562,2562,1216,47.5,1346,52.5,253,9.9
260,1400000US51059415500,42.2,5821,5821,2712,46.6,3109,53.4,1176,20.2
261,1400000US51059415600,47.4,2634,2634,1325,50.3,1309,49.7,34,1.3
262,1400000US51059415700,42.4,3722,3722,1808,48.6,1914,51.4,40,1.1
263,1400000US51059415800,45.3,4559,4559,2329,51.1,2230,48.9,94,2.1
264,1400000US51059415900,46.5,2948,2948,1471,49.9,1477,50.1,211,7.2
265,1400000US51059416100,48.4,3496,3496,1707,48.8,1789,51.2,138,3.9
266,1400000US51059416200,20.7,4430,4430,2271,51.3,2159,48.7,990,22.3
267,1400000US51059416300,41.2,2245,2245,1183,52.7,1062,47.3,390,17.4
268,1400000US51059420201,38.6,3644,3644,1719,47.2,1925,52.8,561,15.4
269,1400000US51059420202,30.9,1875,1875,953,50.8,922,49.2,287,15.3
270,1400000US51059420203,44.1,2566,2566,1394,54.3,1172,45.7,326,12.7
271,1400000US51059420300,39.9,6029,6029,3317,55.0,2712,45.0,705,11.7
272,1400000US51059420501,58.0,1385,1385,667,48.2,718,51.8,142,10.3
273,1400000US51059420502,38.6,1368,1368,794,58.0,574,42.0,320,23.4
274,1400000US51059420503,30.9,2797,2797,1733,62.0,1064,38.0,462,16.5
275,1400000US51059420600,33.6,4239,4239,2347,55.4,1892,44.6,783,18.5
276,1400000US51059420700,39.3,3961,3961,2036,51.4,1925,48.6,226,5.7
277,1400000US51059421001,38.4,2889,2889,1441,49.9,1448,50.1,301,10.4
278,1400000US51059421002,35.4,4994,4994,2604,52.1,2390,47.9,1012,20.3
279,1400000US51059421101,36.2,5589,5589,2731,48.9,2858,51.1,1015,18.2
280,1400000US51059421102,36.7,3509,3509,1536,43.8,1973,56.2,250,7.1
281,1400000US51059421103,39.1,5300,5300,2426,45.8,2874,54.2,703,13.3
282,1400000US51059421300,39.5,3752,3752,1937,51.6,1815,48.4,526,14.0
283,1400000US51059421400,30.0,5870,5870,2693,45.9,3177,54.1,2117,36.1
284,1400000US51059421500,32.7,6640,6640,3337,50.3,3303,49.7,1587,23.9
285,1400000US51059421701,30.8,4088,4088,2208,54.0,1880,46.0,1246,30.5
286,1400000US51059421702,35.4,4322,4322,2286,52.9,2036,47.1,1134,26.2
287,1400000US51059421900,22.6,2202,2202,1232,55.9,970,44.1,450,20.4
288,1400000US51059422000,41.6,3804,3804,1840,48.4,1964,51.6,754,19.8
289,1400000US51059422101,30.5,6750,6750,3576,53.0,3174,47.0,2160,32.0
290,1400000US51059422102,32.5,5933,5933,2718,45.8,3215,54.2,2522,42.5
291,1400000US51059422201,37.3,3129,3129,1574,50.3,1555,49.7,333,10.6
292,1400000US51059422202,30.5,5361,5361,2608,48.6,2753,51.4,1676,31.3
293,1400000US51059422302,39.9,5509,5509,2457,44.6,3052,55.4,1050,19.1
294,1400000US51059422402,34.9,5035,5035,2637,52.4,2398,47.6,925,18.4
295,1400000US51059422403,43.7,2368,2368,1268,53.5,1100,46.5,157,6.6
296,1400000US51059430101,44.0,4479,4479,2166,48.4,2313,51.6,156,3.5
297,1400000US51059430102,41.1,2725,2725,1134,41.6,1591,58.4,236,8.7
298,1400000US51059430201,36.5,4589,4589,2149,46.8,2440,53.2,548,11.9
299,1400000US51059430202,41.5,5430,5430,2687,49.5,2743,50.5,168,3.1
300,1400000US51059430400,39.5,7226,7226,3761,52.0,3465,48.0,142,2.0
301,1400000US51059430600,30.3,7587,7587,3872,51.0,3715,49.0,591,7.8
302,1400000US51059430700,39.2,2772,2772,1433,51.7,1339,48.3,63,2.3
303,1400000US51059430801,42.5,4214,4214,2073,49.2,2141,50.8,216,5.1
304,1400000US51059430802,40.0,3694,3694,1839,49.8,1855,50.2,186,5.0
305,1400000US51059430902,34.9,3361,3361,1788,53.2,1573,46.8,146,4.3
306,1400000US51059431001,40.1,4691,4691,2377,50.7,2314,49.3,98,2.1
307,1400000US51059431002,40.5,2090,2090,957,45.8,1133,54.2,400,19.1
308,1400000US51059431300,42.5,4084,4084,1843,45.1,2241,54.9,231,5.7
309,1400000US51059431400,38.2,4678,4678,2209,47.2,2469,52.8,222,4.7
310,1400000US51059431500,43.9,5273,5273,2552,48.4,2721,51.6,574,10.9
311,1400000US51059431600,43.2,7987,7987,3704,46.4,4283,53.6,817,10.2
312,1400000US51059431802,41.1,3425,3425,1593,46.5,1832,53.5,207,6.0
313,1400000US51059432000,36.0,3274,3274,1593,48.7,1681,51.3,228,7.0
314,1400000US51059432100,39.8,3614,3614,1640,45.4,1974,54.6,271,7.5
315,1400000US51059432201,38.0,1828,1828,890,48.7,938,51.3,42,2.3
316,1400000US51059432202,37.7,4703,4703,2291,48.7,2412,51.3,215,4.6
317,1400000US51059432401,40.7,3663,3663,1760,48.0,1903,52.0,128,3.5
318,1400000US51059432402,44.2,4889,4889,2241,45.8,2648,54.2,290,5.9
319,1400000US51059432500,42.7,5821,5821,2923,50.2,2898,49.8,431,7.4
320,1400000US51059432600,38.1,5121,5121,2538,49.6,2583,50.4,448,8.7
321,1400000US51059432701,37.9,3173,3173,1605,50.6,1568,49.4,334,10.5
322,1400000US51059432800,33.3,2247,2247,1041,46.3,1206,53.7,781,34.8
323,1400000US51059440100,41.2,7514,7514,3696,49.2,3818,50.8,208,2.8
324,1400000US51059440201,31.7,1968,1968,1015,51.6,953,48.4,120,6.1
325,1400000US51059440202,31.8,5909,5909,2832,47.9,3077,52.1,753,12.7
326,1400000US51059440300,45.5,2798,2798,1424,50.9,1374,49.1,122,4.4
327,1400000US51059440501,43.4,5126,5126,2458,48.0,2668,52.0,0,0.0
328,1400000US51059440502,19.8,6838,6838,3767,55.1,3071,44.9,856,12.5
329,1400000US51059440701,44.8,2794,2794,1341,48.0,1453,52.0,139,5.0
330,1400000US51059440702,45.6,5400,5400,2720,50.4,2680,49.6,7,0.1
331,1400000US51059440800,43.1,6176,6176,2873,46.5,3303,53.5,95,1.5
332,1400000US51059450100,35.7,5168,5168,2398,46.4,2770,53.6,351,6.8
333,1400000US51059450300,40.4,4964,4964,2416,48.7,2548,51.3,317,6.4
334,1400000US51059450400,40.0,2688,2688,1294,48.1,1394,51.9,8,0.3
335,1400000US51059450601,42.8,3468,3468,1730,49.9,1738,50.1,97,2.8
336,1400000US51059450602,35.2,4120,4120,1684,40.9,2436,59.1,128,3.1
337,1400000US51059450701,37.6,2892,2892,1562,54.0,1330,46.0,129,4.5
338,1400000US51059450800,44.0,3307,3307,1526,46.1,1781,53.9,176,5.3
339,1400000US51059450900,41.0,1752,1752,835,47.7,917,52.3,13,0.7
340,1400000US51059451000,45.5,2586,2586,1294,50.0,1292,50.0,45,1.7
341,1400000US51059451100,45.8,2139,2139,1041,48.7,1098,51.3,0,0.0
342,1400000US51059451200,47.5,1579,1579,780,49.4,799,50.6,40,2.5
343,1400000US51059451400,41.3,2704,2704,1364,50.4,1340,49.6,63,2.3
344,1400000US51059451501,33.5,5629,5629,3299,58.6,2330,41.4,579,10.3
345,1400000US51059451502,36.6,4209,4209,2046,48.6,2163,51.4,1004,23.9
346,1400000US51059451601,27.1,5132,5132,3613,70.4,1519,29.6,227,4.4
347,1400000US51059451602,34.8,2488,2488,1019,41.0,1469,59.0,278,11.2
348,1400000US51059451800,40.3,3303,3303,1693,51.3,1610,48.7,0,0.0
349,1400000US51059452000,50.2,2745,2745,1345,49.0,1400,51.0,239,8.7
350,1400000US51059452101,39.5,4839,4839,1946,40.2,2893,59.8,774,16.0
351,1400000US51059452200,39.0,5856,5856,2992,51.1,2864,48.9,482,8.2
352,1400000US51059452301,35.0,3464,3464,1752,50.6,1712,49.4,228,6.6
353,1400000US51059452302,29.2,4623,4623,2125,46.0,2498,54.0,155,3.4
354,1400000US51059452400,38.1,6830,6830,3239,47.4,3591,52.6,668,9.8
355,1400000US51059452501,37.0,3910,3910,1898,48.5,2012,51.5,270,6.9
356,1400000US51059452600,37.8,4633,4633,2160,46.6,2473,53.4,973,21.0
357,1400000US51059452700,31.4,5157,5157,2433,47.2,2724,52.8,1339,26.0
358,1400000US51059452801,39.2,4118,4118,2193,53.3,1925,46.7,509,12.4
359,1400000US51059460100,44.0,4427,4427,2133,48.2,2294,51.8,118,2.7
360,1400000US51059460400,44.7,4876,4876,2212,45.4,2664,54.6,160,3.3
361,1400000US51059460501,44.2,2490,2490,1203,48.3,1287,51.7,17,0.7
362,1400000US51059460502,38.6,6758,6758,3240,47.9,3518,52.1,283,4.2
363,1400000US51059460701,37.3,3348,3348,1674,50.0,1674,50.0,242,7.2
364,1400000US51059460702,40.2,4360,4360,2225,51.0,2135,49.0,315,7.2
365,1400000US51059460800,39.0,3190,3190,1736,54.4,1454,45.6,34,1.1
366,1400000US51059460900,46.0,2321,2321,1177,50.7,1144,49.3,0,0.0
367,1400000US51059461100,40.3,7387,7387,3992,54.0,3395,46.0,55,0.7
368,1400000US51059461201,46.1,4610,4610,2227,48.3,2383,51.7,56,1.2
369,1400000US51059461202,32.5,4487,4487,1960,43.7,2527,56.3,248,5.5
370,1400000US51059461500,37.2,6420,6420,3433,53.5,2987,46.5,146,2.3
371,1400000US51059461602,31.2,3878,3878,2013,51.9,1865,48.1,108,2.8
372,1400000US51059461700,36.5,6231,6231,3151,50.6,3080,49.4,661,10.6
373,1400000US51059461801,34.4,1082,1082,480,44.4,602,55.6,48,4.4
374,1400000US51059461802,33.9,4480,4480,1943,43.4,2537,56.6,198,4.4
375,1400000US51059461902,27.6,1839,1839,1105,60.1,734,39.9,154,8.4
376,1400000US51059470100,48.7,2873,2873,1376,47.9,1497,52.1,0,0.0
377,1400000US51059470300,46.0,3191,3191,1571,49.2,1620,50.8,30,0.9
378,1400000US51059470400,45.5,4353,4353,2239,51.4,2114,48.6,39,0.9
379,1400000US51059470500,43.6,4977,4977,2523,50.7,2454,49.3,0,0.0
380,1400000US51059470700,44.2,5026,5026,2338,46.5,2688,53.5,48,1.0
381,1400000US51059470800,41.0,2859,2859,1344,47.0,1515,53.0,75,2.6
382,1400000US51059470900,43.9,7261,7261,3389,46.7,3872,53.3,150,2.1
383,1400000US51059471100,36.8,6437,6437,3172,49.3,3265,50.7,118,1.8
384,1400000US51059471201,34.8,2686,2686,1263,47.0,1423,53.0,253,9.4
385,1400000US51059471202,36.2,3990,3990,1980,49.6,2010,50.4,117,2.9
386,1400000US51059471301,30.1,3204,3204,1578,49.3,1626,50.7,86,2.7
387,1400000US51059471304,43.2,1653,1653,741,44.8,912,55.2,15,0.9
388,1400000US51059471401,34.9,3305,3305,1383,41.8,1922,58.2,133,4.0
389,1400000US51059471402,35.2,3404,3404,1560,45.8,1844,54.2,279,8.2
390,1400000US51059480100,47.2,3930,3930,2001,50.9,1929,49.1,0,0.0
391,1400000US51059480201,46.9,4036,4036,2093,51.9,1943,48.1,37,0.9
392,1400000US51059480203,45.9,2045,2045,863,42.2,1182,57.8,208,10.2
393,1400000US51059480300,43.7,7212,7212,3790,52.6,3422,47.4,121,1.7
394,1400000US51059480401,40.2,4531,4531,2158,47.6,2373,52.4,95,2.1
395,1400000US51059480402,40.3,6519,6519,3215,49.3,3304,50.7,97,1.5
396,1400000US51059480502,36.1,6144,6144,2884,46.9,3260,53.1,446,7.3
397,1400000US51059480503,37.7,3662,3662,1880,51.3,1782,48.7,81,2.2
398,1400000US51059480504,40.3,1849,1849,782,42.3,1067,57.7,157,8.5
399,1400000US51059480505,33.8,2957,2957,1452,49.1,1505,50.9,194,6.6
400,1400000US51059480801,35.8,4219,4219,2249,53.3,1970,46.7,344,8.2
401,1400000US51059480901,33.0,6767,6767,3273,48.4,3494,51.6,1089,16.1
402,1400000US51059480902,37.0,3838,3838,2185,56.9,1653,43.1,445,11.6
403,1400000US51059480903,31.2,3874,3874,1847,47.7,2027,52.3,528,13.6
404,1400000US51059481101,29.8,1651,1651,883,53.5,768,46.5,126,7.6
405,1400000US51059481102,33.5,2553,2553,1251,49.0,1302,51.0,254,9.9
406,1400000US51059481103,30.0,3281,3281,1719,52.4,1562,47.6,326,9.9
407,1400000US51059481105,39.9,5524,5524,2557,46.3,2967,53.7,142,2.6
408,1400000US51059481106,38.2,5587,5587,2644,47.3,2943,52.7,404,7.2
409,1400000US51059481201,34.5,1518,1518,845,55.7,673,44.3,92,6.1
410,1400000US51059481202,32.9,5861,5861,2988,51.0,2873,49.0,1168,19.9
411,1400000US51059481400,42.0,5889,5889,2727,46.3,3162,53.7,496,8.4
412,1400000US51059481500,48.2,2176,2176,1063,48.9,1113,51.1,35,1.6
413,1400000US51059481600,43.3,3475,3475,1700,48.9,1775,51.1,71,2.0
414,1400000US51059481702,36.4,3715,3715,1834,49.4,1881,50.6,350,9.4
415,1400000US51059481900,37.6,5342,5342,2625,49.1,2717,50.9,765,14.3
416,1400000US51059482001,41.4,4923,4923,2524,51.3,2399,48.7,148,3.0
417,1400000US51059482100,41.8,2668,2668,1357,50.9,1311,49.1,242,9.1
418,1400000US51059482201,32.9,2033,2033,875,43.0,1158,57.0,564,27.7
419,1400000US51059482202,45.2,3086,3086,1470,47.6,1616,52.4,352,11.4
420,1400000US51059482203,40.8,3484,3484,1644,47.2,1840,52.8,108,3.1
421,1400000US51059482302,29.7,4052,4052,2217,54.7,1835,45.3,1125,27.8
422,1400000US51059482303,45.8,2994,2994,1378,46.0,1616,54.0,86,2.9
423,1400000US51059482400,44.7,2136,2136,1007,47.1,1129,52.9,0,0.0
424,1400000US51059482501,30.6,5869,5869,2743,46.7,3126,53.3,732,12.5
425,1400000US51059482503,36.6,4758,4758,2347,49.3,2411,50.7,151,3.2
426,1400000US51059482504,36.7,5544,5544,2902,52.3,2642,47.7,119,2.1
427,1400000US51059482601,37.5,6976,6976,3570,51.2,3406,48.8,858,12.3
428,1400000US51059482602,37.3,6714,6714,3138,46.7,3576,53.3,269,4.0
429,1400000US51059490101,33.6,5237,5237,2425,46.3,2812,53.7,463,8.8
430,1400000US51059490103,35.0,5356,5356,2825,52.7,2531,47.3,70,1.3
431,1400000US51059490502,41.6,6091,6091,2961,48.6,3130,51.4,190,3.1
432,1400000US51059491000,38.8,1921,1921,900,46.9,1021,53.1,52,2.7
433,1400000US51059491101,39.3,3914,3914,1990,50.8,1924,49.2,62,1.6
434,1400000US51059491102,38.6,3676,3676,1796,48.9,1880,51.1,164,4.5
435,1400000US51059491201,31.8,5919,5919,2939,49.7,2980,50.3,813,13.7
436,1400000US51059491301,31.3,6980,6980,3406,48.8,3574,51.2,482,6.9
437,1400000US51059491302,31.4,3704,3704,1688,45.6,2016,54.4,169,4.6
438,1400000US51059491303,29.0,3814,3814,2094,54.9,1720,45.1,402,10.5
439,1400000US51059491402,31.5,4229,4229,2180,51.5,2049,48.5,330,7.8
440,1400000US51059491403,40.6,4005,4005,2016,50.3,1989,49.7,87,2.2
441,1400000US51059491404,33.0,3967,3967,1933,48.7,2034,51.3,316,8.0
442,1400000US51059491405,38.8,3111,3111,1603,51.5,1508,48.5,153,4.9
443,1400000US51059491502,37.5,7138,7138,3644,51.1,3494,48.9,249,3.5
444,1400000US51059491601,29.2,4840,4840,2123,43.9,2717,56.1,558,11.5
445,1400000US51059491602,36.4,5513,5513,2765,50.2,2748,49.8,330,6.0
446,1400000US51059491701,34.9,3119,3119,1431,45.9,1688,54.1,213,6.8
447,1400000US51059491702,29.5,6564,6564,3051,46.5,3513,53.5,777,11.8
448,1400000US51059491704,33.4,4008,4008,1911,47.7,2097,52.3,296,7.4
449,1400000US51059491705,33.2,3699,3699,1677,45.3,2022,54.7,38,1.0
450,1400000US51059491802,38.7,2554,2554,1204,47.1,1350,52.9,83,3.2
451,1400000US51059491803,38.8,6492,6492,3247,50.0,3245,50.0,167,2.6
452,1400000US51059492000,45.7,6550,6550,3262,49.8,3288,50.2,388,5.9
453,1400000US51059492100,46.9,6619,6619,3290,49.7,3329,50.3,41,0.6
454,1400000US51059492201,47.3,2577,2577,1170,45.4,1407,54.6,133,5.2
455,1400000US51059492203,43.2,4031,4031,2058,51.1,1973,48.9,45,1.1
456,1400000US51059492300,36.5,3452,3452,1780,51.6,1672,48.4,309,9.0
457,1400000US51059492400,32.8,4786,4786,2449,51.2,2337,48.8,566,11.8
458,1400000US51059492500,43.2,4268,4268,2088,48.9,2180,51.1,83,1.9
459,1400000US51059980200,-,0,0,0,-,0,-,0,-
460,1400000US51059980300,-,0,0,0,-,0,-,0,-
461,1400000US51013100200,42.0,5934,5934,2933,49.4,3001,50.6,124,2.1
462,1400000US51013100300,44.6,5905,5905,2887,48.9,3018,51.1,198,3.4
463,1400000US51013100500,37.3,4509,4509,2306,51.1,2203,48.9,0,0.0
464,1400000US51013100600,43.1,2994,2994,1394,46.6,1600,53.4,161,5.4
465,1400000US51013100700,37.2,4787,4787,2093,43.7,2694,56.3,199,4.2
466,1400000US51013100900,40.0,4036,4036,1763,43.7,2273,56.3,177,4.4
467,1400000US51013101000,37.8,3157,3157,1477,46.8,1680,53.2,119,3.8
468,1400000US51013101100,36.5,5229,5229,2500,47.8,2729,52.2,140,2.7
469,1400000US51013101200,40.9,3403,3403,1564,46.0,1839,54.0,89,2.6
470,1400000US51013101300,36.5,5928,5928,3228,54.5,2700,45.5,37,0.6
471,1400000US51013101402,32.3,2566,2566,1291,50.3,1275,49.7,0,0.0
472,1400000US51013101403,30.6,5055,5055,2640,52.2,2415,47.8,146,2.9
473,1400000US51013101404,35.0,3420,3420,1645,48.1,1775,51.9,143,4.2
474,1400000US51013101500,30.3,7436,7436,3436,46.2,4000,53.8,219,2.9
475,1400000US51013101601,30.5,1506,1506,754,50.1,752,49.9,20,1.3
476,1400000US51013101603,28.8,3092,3092,1740,56.3,1352,43.7,49,1.6
477,1400000US51013101701,28.3,3348,3348,1787,53.4,1561,46.6,339,10.1
478,1400000US51013101702,31.4,3966,3966,1788,45.1,2178,54.9,175,4.4
479,1400000US51013101801,31.9,2091,2091,1149,54.9,942,45.1,108,5.2
480,1400000US51013101802,30.1,5445,5445,2968,54.5,2477,45.5,453,8.3
481,1400000US51013101803,30.3,4286,4286,2263,52.8,2023,47.2,501,11.7
482,1400000US51013102001,34.8,1584,1584,819,51.7,765,48.3,66,4.2
483,1400000US51013102002,27.2,1483,1483,785,52.9,698,47.1,108,7.3
484,1400000US51013102003,35.0,3708,3708,2022,54.5,1686,45.5,227,6.1
485,1400000US51013102100,44.3,2503,2503,1015,40.6,1488,59.4,28,1.1
486,1400000US51013102200,29.5,6722,6722,3426,51.0,3296,49.0,1291,19.2
487,1400000US51013102302,33.8,4467,4467,2411,54.0,2056,46.0,254,5.7
488,1400000US51013102400,33.6,3512,3512,1801,51.3,1711,48.7,365,10.4
489,1400000US51013102500,35.5,4708,4708,2381,50.6,2327,49.4,809,17.2
