OBJECTID,GEO.id,acs_ssm,acs_ssmf,acs_ssf,acs_sso
1,1400000US11001007407,12,31,0,1073
2,1400000US11001007409,23,0,12,1424
3,1400000US11001007502,25,0,0,1521
4,1400000US11001007503,0,0,8,785
5,1400000US11001007504,0,37,12,965
6,1400000US11001007603,9,8,0,1990
7,1400000US11001007604,8,93,0,1619
8,1400000US11001007605,0,75,0,1543
9,1400000US11001007707,0,0,0,1387
10,1400000US11001007708,0,0,12,1108
11,1400000US11001007709,0,34,6,896
12,1400000US11001007803,0,53,0,1262
13,1400000US11001007804,0,12,0,1086
14,1400000US11001007807,0,0,0,793
15,1400000US11001007808,0,24,0,1202
16,1400000US11001007809,0,27,0,1122
17,1400000US11001007903,15,0,0,726
18,1400000US11001008001,11,36,0,1136
19,1400000US11001008002,18,9,18,1494
20,1400000US11001008200,19,29,0,1404
21,1400000US11001008301,62,50,0,1012
22,1400000US11001008402,25,58,0,914
23,1400000US11001008410,10,47,0,497
24,1400000US11001008701,5,0,0,751
25,1400000US11001008802,0,88,0,1623
26,1400000US11001008803,0,24,0,410
27,1400000US11001008804,0,109,0,1043
28,1400000US11001008903,16,18,0,1087
29,1400000US11001009000,0,40,0,1600
30,1400000US11001009102,0,0,0,1525
31,1400000US11001009201,0,9,0,486
32,1400000US11001009204,0,86,8,1138
33,1400000US11001000100,71,42,0,2372
34,1400000US11001000201,0,0,0,0
35,1400000US11001000400,0,0,0,559
36,1400000US11001000702,0,32,0,2091
37,1400000US11001001002,24,29,0,1806
38,1400000US11001001401,0,29,0,1406
39,1400000US11001001702,0,51,0,997
40,1400000US11001002201,0,0,0,1073
41,1400000US11001002501,26,25,0,846
42,1400000US11001002801,0,22,0,1498
43,1400000US11001002900,12,38,0,1285
44,1400000US11001003301,56,4,0,1094
45,1400000US11001003600,58,71,8,1632
46,1400000US11001004002,40,54,0,1388
47,1400000US11001004202,18,40,0,1514
48,1400000US11001004702,0,34,0,746
49,1400000US11001004901,58,0,0,863
50,1400000US11001005600,0,31,0,3329
51,1400000US11001006400,12,54,0,931
52,1400000US11001006801,0,18,0,722
53,1400000US11001007100,0,20,5,1183
54,1400000US11001007403,0,49,0,1051
55,1400000US11001007408,0,0,0,994
56,1400000US11001007601,0,53,0,1706
57,1400000US11001007703,0,60,0,2130
58,1400000US11001007806,24,61,0,699
59,1400000US11001007901,34,151,0,1318
60,1400000US11001008302,28,11,24,839
61,1400000US11001008702,11,9,0,741
62,1400000US11001008904,0,64,0,1487
63,1400000US11001009203,0,9,0,1218
64,1400000US11001009302,0,0,0,459
65,1400000US11001009504,14,0,0,1213
66,1400000US11001009509,0,45,0,1115
67,1400000US11001009602,0,26,35,1198
68,1400000US11001009603,0,42,0,1404
69,1400000US11001009604,0,7,0,955
70,1400000US11001009700,0,8,0,937
71,1400000US11001009802,0,0,0,494
72,1400000US11001009807,0,34,0,1392
73,1400000US11001009904,0,0,0,715
74,1400000US11001009906,0,0,0,687
75,1400000US11001010500,25,67,19,2355
76,1400000US11001010800,0,8,0,1010
77,1400000US11001000202,24,46,0,1686
78,1400000US11001000300,52,40,0,2484
79,1400000US11001000501,0,61,0,1885
80,1400000US11001000502,29,49,14,1532
81,1400000US11001000600,34,0,24,1919
82,1400000US11001000701,63,77,16,2957
83,1400000US11001000802,0,5,0,1303
84,1400000US11001000901,54,0,0,1414
85,1400000US11001000902,11,0,0,797
86,1400000US11001001001,30,0,68,2645
87,1400000US11001001100,50,25,11,1693
88,1400000US11001001200,0,23,0,2457
89,1400000US11001001301,0,47,0,1973
90,1400000US11001001302,27,135,13,4398
91,1400000US11001001402,12,11,9,1373
92,1400000US11001001500,33,27,12,2053
93,1400000US11001001600,52,36,5,1603
94,1400000US11001001803,0,17,8,1548
95,1400000US11001001804,12,100,0,1777
96,1400000US11001001901,0,0,0,1563
97,1400000US11001002001,0,0,8,978
98,1400000US11001002002,0,10,21,1425
99,1400000US11001002101,0,75,11,1658
100,1400000US11001002102,0,0,0,1906
101,1400000US11001002202,0,5,0,1278
102,1400000US11001002301,7,18,11,1040
103,1400000US11001002302,9,38,0,633
104,1400000US11001002400,24,13,10,1256
105,1400000US11001002502,0,46,0,1861
106,1400000US11001002600,38,0,0,908
107,1400000US11001002701,8,155,9,2499
108,1400000US11001002702,43,155,50,1695
109,1400000US11001002802,0,44,7,1732
110,1400000US11001003000,38,27,0,1183
111,1400000US11001003100,26,0,0,876
112,1400000US11001003200,22,69,12,1497
113,1400000US11001003302,9,10,0,908
114,1400000US11001003400,15,28,22,1076
115,1400000US11001003500,9,51,0,848
116,1400000US11001003700,18,25,0,1961
117,1400000US11001003800,97,22,38,2357
118,1400000US11001003900,16,15,30,2696
119,1400000US11001004001,54,86,0,1846
120,1400000US11001004100,21,45,0,1383
121,1400000US11001004201,97,70,40,1885
122,1400000US11001004300,89,41,31,1612
123,1400000US11001004400,121,15,19,1986
124,1400000US11001004600,0,57,10,975
125,1400000US11001004701,0,0,0,1513
126,1400000US11001004801,28,32,0,836
127,1400000US11001004802,21,50,26,1190
128,1400000US11001004902,79,14,0,1208
129,1400000US11001005001,129,28,0,614
130,1400000US11001005002,95,71,0,3200
131,1400000US11001005201,168,61,7,3543
132,1400000US11001005301,109,49,0,3217
133,1400000US11001005500,84,92,6,3591
134,1400000US11001005800,44,8,0,1570
135,1400000US11001005900,41,104,21,1292
136,1400000US11001006202,0,0,0,0
137,1400000US11001006500,12,9,0,1371
138,1400000US11001006600,12,28,0,943
139,1400000US11001006700,35,37,0,1645
140,1400000US11001006802,14,0,11,848
141,1400000US11001006804,0,0,0,0
142,1400000US11001006900,28,10,13,983
143,1400000US11001007000,22,8,18,1033
144,1400000US11001007200,0,38,0,647
145,1400000US11001007301,0,0,0,769
146,1400000US11001007304,0,47,0,1098
147,1400000US11001007401,13,0,0,776
148,1400000US11001007404,0,11,0,1033
149,1400000US11001007406,0,0,0,925
150,1400000US11001009301,16,11,5,1114
151,1400000US11001009400,0,0,9,1723
152,1400000US11001009501,0,40,0,1772
153,1400000US11001009503,0,0,12,1109
154,1400000US11001009505,0,0,0,1096
155,1400000US11001009507,9,0,0,623
156,1400000US11001009508,0,0,0,1361
157,1400000US11001009601,0,0,58,796
158,1400000US11001009801,0,0,0,397
159,1400000US11001009803,0,36,0,929
160,1400000US11001009804,0,24,0,965
161,1400000US11001009810,16,0,0,881
162,1400000US11001009811,0,0,0,1459
163,1400000US11001009901,0,23,0,931
164,1400000US11001009902,0,12,0,1087
165,1400000US11001009903,0,9,0,473
166,1400000US11001009905,0,0,0,1042
167,1400000US11001009907,0,0,0,1094
168,1400000US11001010100,20,33,0,1504
169,1400000US11001010200,12,12,9,1607
170,1400000US11001010300,0,55,0,974
171,1400000US11001010400,31,6,0,1406
172,1400000US11001010600,9,31,8,1370
173,1400000US11001010700,0,8,0,1206
174,1400000US11001010900,0,21,0,1000
175,1400000US11001011000,6,106,0,2424
176,1400000US11001011100,7,12,0,1611
177,1400000US11001001902,0,0,0,850
178,1400000US11001008100,18,67,38,1249
179,1400000US11001000801,30,12,7,3040
180,1400000US51059415100,0,15,35,1155
181,1400000US51059415401,15,130,2,1956
182,1400000US51059416000,0,9,13,1825
183,1400000US51059420100,0,0,0,1148
184,1400000US51059420800,9,37,0,1104
185,1400000US51059421200,0,0,0,673
186,1400000US51059421600,0,89,0,1702
187,1400000US51059421800,0,91,41,1919
188,1400000US51059422301,0,0,0,1265
189,1400000US51059422401,0,63,0,1017
190,1400000US51059430203,11,0,0,890
191,1400000US51059430500,0,0,0,586
192,1400000US51059430901,0,69,0,1410
193,1400000US51059431801,0,10,0,1403
194,1400000US51059431900,10,0,0,1066
195,1400000US51059432300,0,0,6,1732
196,1400000US51059432702,0,24,11,1415
197,1400000US51059440600,0,0,13,904
198,1400000US51059450200,0,8,0,1178
199,1400000US51059450500,3,0,0,807
200,1400000US51059450702,16,9,0,1330
201,1400000US51059451300,0,0,0,910
202,1400000US51059451900,0,55,0,1972
203,1400000US51059452102,0,0,0,966
204,1400000US51059452502,0,0,0,1498
205,1400000US51059452802,17,16,0,1404
206,1400000US51059460200,0,10,0,1267
207,1400000US51059460300,0,8,0,940
208,1400000US51059460600,36,13,0,1257
209,1400000US51059461000,0,0,0,764
210,1400000US51059461601,0,0,0,2254
211,1400000US51059461901,0,33,0,1275
212,1400000US51059470600,9,28,12,1048
213,1400000US51059471000,23,0,0,822
214,1400000US51059471303,14,35,0,1666
215,1400000US51059480202,0,26,0,1312
216,1400000US51059480501,0,0,0,1090
217,1400000US51059480802,0,0,0,1489
218,1400000US51059481000,0,15,0,1462
219,1400000US51059481104,0,0,0,1102
220,1400000US51059481701,9,11,0,1994
221,1400000US51059482301,16,33,0,1854
222,1400000US51059482502,0,28,0,1033
223,1400000US51059490501,0,58,0,1144
224,1400000US51059491202,0,58,0,671
225,1400000US51059491401,0,63,0,1661
226,1400000US51059491501,0,47,0,2169
227,1400000US51059491703,0,90,0,2061
228,1400000US51059491801,16,0,0,965
229,1400000US51059492202,10,0,0,2090
230,1400000US51059980100,0,0,0,0
231,1400000US51013100100,0,9,7,1598
232,1400000US51013100400,40,9,10,1184
233,1400000US51013100800,0,0,0,478
234,1400000US51013101401,0,43,0,574
235,1400000US51013101602,0,0,0,969
236,1400000US51013101703,9,29,0,1218
237,1400000US51013101900,9,20,16,962
238,1400000US51013102301,0,0,8,610
239,1400000US51013102702,14,9,0,521
240,1400000US51013102902,29,42,0,2254
241,1400000US51013103402,5,46,0,2257
242,1400000US51013103602,0,13,5,620
243,1400000US51510200103,23,30,0,2792
244,1400000US51510200107,0,95,12,2820
245,1400000US51510200301,9,14,0,1026
246,1400000US51510200405,44,131,10,2995
247,1400000US51510200500,0,70,0,2522
248,1400000US51510200600,0,0,0,1848
249,1400000US51510200701,0,15,0,373
250,1400000US51510200702,60,67,0,1548
251,1400000US51510200900,0,66,33,1680
252,1400000US51510201204,7,65,0,1187
253,1400000US51510201600,9,78,13,2012
254,1400000US51510202001,9,7,0,947
255,,,,,
256,1400000US51610500300,0,0,0,1517
257,1400000US51059415200,35,10,0,1799
258,1400000US51059415300,24,0,25,1409
259,1400000US51059415402,16,0,0,1083
260,1400000US51059415500,17,49,0,2116
261,1400000US51059415600,11,0,0,1011
262,1400000US51059415700,0,0,0,1254
263,1400000US51059415800,10,13,0,1626
264,1400000US51059415900,0,0,11,1095
265,1400000US51059416100,13,0,0,1362
266,1400000US51059416200,0,0,0,1112
267,1400000US51059416300,0,0,0,764
268,1400000US51059420201,0,0,0,1279
269,1400000US51059420202,5,0,0,911
270,1400000US51059420203,0,0,0,901
271,1400000US51059420300,0,75,10,1983
272,1400000US51059420501,14,0,0,970
273,1400000US51059420502,0,7,0,859
274,1400000US51059420503,36,0,12,1066
275,1400000US51059420600,23,111,0,1540
276,1400000US51059420700,0,0,0,1364
277,1400000US51059421001,0,15,10,920
278,1400000US51059421002,0,0,0,1973
279,1400000US51059421101,0,22,0,1985
280,1400000US51059421102,0,17,14,1416
281,1400000US51059421103,0,40,0,2035
282,1400000US51059421300,14,12,0,1359
283,1400000US51059421400,0,144,54,2073
284,1400000US51059421500,17,0,13,2127
285,1400000US51059421701,0,0,0,1187
286,1400000US51059421702,0,20,24,1114
287,1400000US51059421900,0,20,0,640
288,1400000US51059422000,8,0,0,1280
289,1400000US51059422101,0,39,0,2341
290,1400000US51059422102,0,15,17,1908
291,1400000US51059422201,0,0,0,903
292,1400000US51059422202,0,27,0,1765
293,1400000US51059422302,0,16,0,2414
294,1400000US51059422402,16,34,13,1915
295,1400000US51059422403,0,3,0,957
296,1400000US51059430101,17,45,0,1412
297,1400000US51059430102,0,16,0,1009
298,1400000US51059430201,0,123,0,1290
299,1400000US51059430202,8,34,13,1507
300,1400000US51059430400,13,56,0,2198
301,1400000US51059430600,0,107,0,1721
302,1400000US51059430700,11,0,8,906
303,1400000US51059430801,0,9,13,1482
304,1400000US51059430802,18,67,0,1641
305,1400000US51059430902,0,27,0,1027
306,1400000US51059431001,20,0,0,1563
307,1400000US51059431002,0,16,0,732
308,1400000US51059431300,0,11,0,1372
309,1400000US51059431400,0,14,0,1435
310,1400000US51059431500,18,11,0,2000
311,1400000US51059431600,0,19,6,3138
312,1400000US51059431802,0,9,0,1052
313,1400000US51059432000,0,28,0,1089
314,1400000US51059432100,0,47,9,1337
315,1400000US51059432201,0,13,0,903
316,1400000US51059432202,0,0,0,1619
317,1400000US51059432401,0,0,0,1207
318,1400000US51059432402,0,0,0,1566
319,1400000US51059432500,9,0,21,1868
320,1400000US51059432600,0,2,13,1548
321,1400000US51059432701,0,0,0,1076
322,1400000US51059432800,0,0,0,780
323,1400000US51059440100,16,53,0,2499
324,1400000US51059440201,1,0,0,859
325,1400000US51059440202,0,0,0,2101
326,1400000US51059440300,0,11,0,954
327,1400000US51059440501,0,0,0,1674
328,1400000US51059440502,0,0,0,638
329,1400000US51059440701,0,0,0,1004
330,1400000US51059440702,0,0,0,1856
331,1400000US51059440800,0,13,0,2033
332,1400000US51059450100,11,30,0,2162
333,1400000US51059450300,0,53,4,1576
334,1400000US51059450400,0,11,0,917
335,1400000US51059450601,0,12,0,1284
336,1400000US51059450602,0,68,1,1573
337,1400000US51059450701,13,122,0,790
338,1400000US51059450800,10,27,0,1090
339,1400000US51059450900,0,0,0,612
340,1400000US51059451000,0,10,25,858
341,1400000US51059451100,0,11,0,800
342,1400000US51059451200,0,0,0,605
343,1400000US51059451400,23,0,9,1193
344,1400000US51059451501,30,54,0,2166
345,1400000US51059451502,9,25,0,1525
346,1400000US51059451601,0,151,0,1326
347,1400000US51059451602,0,24,0,1010
348,1400000US51059451800,10,19,8,1048
349,1400000US51059452000,0,0,14,1081
350,1400000US51059452101,0,22,0,1560
351,1400000US51059452200,0,92,0,1967
352,1400000US51059452301,0,62,0,1470
353,1400000US51059452302,0,94,0,1489
354,1400000US51059452400,12,0,0,2297
355,1400000US51059452501,15,86,0,1284
356,1400000US51059452600,12,94,0,1919
357,1400000US51059452700,0,118,0,1646
358,1400000US51059452801,22,69,5,2229
359,1400000US51059460100,0,23,8,1393
360,1400000US51059460400,0,0,0,1902
361,1400000US51059460501,4,0,27,800
362,1400000US51059460502,0,0,0,2232
363,1400000US51059460701,0,102,0,971
364,1400000US51059460702,0,33,12,1405
365,1400000US51059460800,0,6,13,1050
366,1400000US51059460900,0,7,0,793
367,1400000US51059461100,0,39,0,2527
368,1400000US51059461201,0,13,0,1466
369,1400000US51059461202,52,46,0,1730
370,1400000US51059461500,0,30,11,2288
371,1400000US51059461602,0,22,0,1830
372,1400000US51059461700,0,65,14,2244
373,1400000US51059461801,0,0,0,495
374,1400000US51059461802,0,22,0,1842
375,1400000US51059461902,0,0,0,643
376,1400000US51059470100,0,10,0,946
377,1400000US51059470300,19,7,24,1074
378,1400000US51059470400,20,11,15,1577
379,1400000US51059470500,0,0,10,1896
380,1400000US51059470700,21,0,0,1757
381,1400000US51059470800,4,12,5,1043
382,1400000US51059470900,0,0,41,2593
383,1400000US51059471100,0,38,15,2028
384,1400000US51059471201,0,98,0,1442
385,1400000US51059471202,0,12,0,2046
386,1400000US51059471301,0,82,18,1206
387,1400000US51059471304,0,0,0,554
388,1400000US51059471401,0,10,0,1313
389,1400000US51059471402,27,0,18,1193
390,1400000US51059480100,0,0,0,1342
391,1400000US51059480201,14,6,0,1396
392,1400000US51059480203,0,0,0,973
393,1400000US51059480300,0,36,0,2256
394,1400000US51059480401,14,0,0,1315
395,1400000US51059480402,0,0,0,1883
396,1400000US51059480502,0,0,0,1850
397,1400000US51059480503,8,67,0,1136
398,1400000US51059480504,0,0,0,790
399,1400000US51059480505,0,12,0,1281
400,1400000US51059480801,0,21,0,1531
401,1400000US51059480901,0,84,0,1943
402,1400000US51059480902,5,65,0,1471
403,1400000US51059480903,0,34,0,1502
404,1400000US51059481101,0,48,0,829
405,1400000US51059481102,0,0,0,1186
406,1400000US51059481103,0,11,0,1224
407,1400000US51059481105,0,0,0,1720
408,1400000US51059481106,12,0,14,1681
409,1400000US51059481201,0,38,0,358
410,1400000US51059481202,0,9,0,1908
411,1400000US51059481400,8,68,16,2368
412,1400000US51059481500,0,11,0,742
413,1400000US51059481600,0,0,0,1109
414,1400000US51059481702,0,6,0,1765
415,1400000US51059481900,0,0,0,2034
416,1400000US51059482001,15,21,0,1561
417,1400000US51059482100,0,14,0,1440
418,1400000US51059482201,0,0,6,992
419,1400000US51059482202,14,45,0,1923
420,1400000US51059482203,0,59,0,1739
421,1400000US51059482302,0,83,0,1525
422,1400000US51059482303,0,0,17,1589
423,1400000US51059482400,0,17,0,721
424,1400000US51059482501,0,46,0,2142
425,1400000US51059482503,0,33,20,1403
426,1400000US51059482504,12,0,0,1663
427,1400000US51059482601,13,0,0,2230
428,1400000US51059482602,0,35,16,2044
429,1400000US51059490101,14,27,26,1864
430,1400000US51059490103,0,10,24,1617
431,1400000US51059490502,0,27,0,1902
432,1400000US51059491000,0,0,0,540
433,1400000US51059491101,0,32,0,1139
434,1400000US51059491102,18,20,17,1034
435,1400000US51059491201,19,46,0,2074
436,1400000US51059491301,0,44,0,1972
437,1400000US51059491302,0,7,0,1331
438,1400000US51059491303,18,77,0,1248
439,1400000US51059491402,10,0,0,1366
440,1400000US51059491403,0,15,0,1134
441,1400000US51059491404,13,40,0,1270
442,1400000US51059491405,0,0,0,841
443,1400000US51059491502,12,9,0,2040
444,1400000US51059491601,0,31,0,1454
445,1400000US51059491602,0,2,18,1555
446,1400000US51059491701,14,24,0,1565
447,1400000US51059491702,0,28,0,2894
448,1400000US51059491704,0,14,0,1808
449,1400000US51059491705,21,31,19,912
450,1400000US51059491802,0,17,0,1006
451,1400000US51059491803,14,29,13,2554
452,1400000US51059492000,14,8,0,2072
453,1400000US51059492100,34,0,0,2160
454,1400000US51059492201,0,0,0,878
455,1400000US51059492203,0,0,0,1207
456,1400000US51059492300,0,27,0,1025
457,1400000US51059492400,0,6,6,1757
458,1400000US51059492500,4,2,0,1327
459,1400000US51059980200,0,0,0,0
460,1400000US51059980300,0,0,0,0
461,1400000US51013100200,34,28,17,2055
462,1400000US51013100300,13,0,0,1989
463,1400000US51013100500,38,11,13,1489
464,1400000US51013100600,0,17,0,1244
465,1400000US51013100700,43,0,0,1963
466,1400000US51013100900,9,7,8,1567
467,1400000US51013101000,0,9,13,1175
468,1400000US51013101100,13,7,13,1962
469,1400000US51013101200,31,0,0,1195
470,1400000US51013101300,43,0,11,2116
471,1400000US51013101402,27,31,0,1293
472,1400000US51013101403,0,79,0,3118
473,1400000US51013101404,16,111,6,1941
474,1400000US51013101500,15,155,14,3163
475,1400000US51013101601,30,36,0,656
476,1400000US51013101603,0,63,0,1756
477,1400000US51013101701,0,69,0,1564
478,1400000US51013101702,0,85,0,2238
479,1400000US51013101801,0,14,0,1187
480,1400000US51013101802,30,154,9,2860
481,1400000US51013101803,0,3,0,2132
482,1400000US51013102001,10,10,0,968
483,1400000US51013102002,0,15,0,617
484,1400000US51013102003,16,11,0,1970
485,1400000US51013102100,31,0,14,899
486,1400000US51013102200,40,35,0,2409
487,1400000US51013102302,10,18,14,1429
