OBJECTID,GEO.id,dec_mgrp
1,1400000US11001007407,24.0
2,1400000US11001007409,26.8
3,1400000US11001007502,28.4
4,1400000US11001007503,31.5
5,1400000US11001007504,24.8
6,1400000US11001007603,27.9
7,1400000US11001007604,22.9
8,1400000US11001007605,24.3
9,1400000US11001007707,26.1
10,1400000US11001007708,27.7
11,1400000US11001007709,25.3
12,1400000US11001007803,26.8
13,1400000US11001007804,21.8
14,1400000US11001007807,22.2
15,1400000US11001007808,28.1
16,1400000US11001007809,20.1
17,1400000US11001007903,25.7
18,1400000US11001008001,30.1
19,1400000US11001008002,21.9
20,1400000US11001008200,21.9
21,1400000US11001008301,21.9
22,1400000US11001008402,26.2
23,1400000US11001008410,23.5
24,1400000US11001008701,23.8
25,1400000US11001008802,26.3
26,1400000US11001008803,33.0
27,1400000US11001008804,27.1
28,1400000US11001008903,23.9
29,1400000US11001009000,27.5
30,1400000US11001009102,24.9
31,1400000US11001009201,33.3
32,1400000US11001009204,25.5
33,1400000US11001000100,22.0
34,1400000US11001000201,0.0
35,1400000US11001000400,24.3
36,1400000US11001000702,24.1
37,1400000US11001001002,31.1
38,1400000US11001001401,24.1
39,1400000US11001001702,22.5
40,1400000US11001002201,30.0
41,1400000US11001002501,28.5
42,1400000US11001002801,25.8
43,1400000US11001002900,28.3
44,1400000US11001003301,29.6
45,1400000US11001003600,27.1
46,1400000US11001004002,22.7
47,1400000US11001004202,23.7
48,,
49,1400000US11001004901,27.9
50,1400000US11001005600,34.5
51,1400000US11001006400,25.9
52,1400000US11001006801,28.9
53,1400000US11001007100,22.2
54,1400000US11001007403,22.4
55,1400000US11001007408,28.4
56,1400000US11001007601,22.5
57,1400000US11001007703,26.2
58,1400000US11001007806,20.7
59,1400000US11001007901,24.3
60,1400000US11001008302,22.0
61,1400000US11001008702,21.3
62,1400000US11001008904,29.8
63,1400000US11001009203,25.7
64,1400000US11001009302,25.4
65,1400000US11001009504,22.2
66,1400000US11001009509,14.3
67,1400000US11001009602,30.2
68,1400000US11001009603,26.9
69,1400000US11001009604,25.9
70,1400000US11001009700,23.4
71,1400000US11001009802,18.7
72,1400000US11001009807,25.4
73,1400000US11001009904,25.0
74,1400000US11001009906,32.6
75,,
76,,
77,1400000US11001000202,36.0
78,1400000US11001000300,22.5
79,1400000US11001000501,19.1
80,1400000US11001000502,23.5
81,1400000US11001000600,21.8
82,1400000US11001000701,22.4
83,1400000US11001000802,25.5
84,1400000US11001000901,26.3
85,1400000US11001000902,17.9
86,1400000US11001001001,23.3
87,1400000US11001001100,22.8
88,1400000US11001001200,22.2
89,1400000US11001001301,22.4
90,1400000US11001001302,22.7
91,1400000US11001001402,29.1
92,1400000US11001001500,24.3
93,1400000US11001001600,23.6
94,1400000US11001001803,23.6
95,1400000US11001001804,24.4
96,1400000US11001001901,22.5
97,1400000US11001002001,24.8
98,1400000US11001002002,26.9
99,1400000US11001002101,23.2
100,1400000US11001002102,25.5
101,1400000US11001002202,21.4
102,1400000US11001002301,19.5
103,1400000US11001002302,26.3
104,1400000US11001002400,31.0
105,1400000US11001002502,25.2
106,1400000US11001002600,22.5
107,1400000US11001002701,25.3
108,1400000US11001002702,25.1
109,1400000US11001002802,25.4
110,1400000US11001003000,29.5
111,1400000US11001003100,28.6
112,1400000US11001003200,27.4
113,1400000US11001003302,26.3
114,1400000US11001003400,27.1
115,1400000US11001003500,28.7
116,1400000US11001003700,23.7
117,1400000US11001003800,25.1
118,1400000US11001003900,23.4
119,1400000US11001004001,22.7
120,1400000US11001004100,20.4
121,1400000US11001004201,24.9
122,1400000US11001004300,25.6
123,1400000US11001004400,26.1
124,1400000US11001004600,29.6
125,,
126,1400000US11001004801,29.4
127,1400000US11001004802,24.4
128,1400000US11001004902,23.5
129,,
130,,
131,1400000US11001005201,25.7
132,1400000US11001005301,22.5
133,1400000US11001005500,25.8
134,1400000US11001005800,26.1
135,1400000US11001005900,18.5
136,1400000US11001006202,0.0
137,1400000US11001006500,20.9
138,1400000US11001006600,20.6
139,1400000US11001006700,20.8
140,1400000US11001006802,23.7
141,1400000US11001006804,10.0-
142,1400000US11001006900,27.2
143,1400000US11001007000,21.2
144,1400000US11001007200,24.9
145,1400000US11001007301,25.1
146,1400000US11001007304,26.2
147,1400000US11001007401,23.7
148,1400000US11001007404,25.8
149,1400000US11001007406,28.8
150,1400000US11001009301,24.2
151,1400000US11001009400,27.6
152,1400000US11001009501,27.0
153,1400000US11001009503,20.5
154,1400000US11001009505,22.2
155,1400000US11001009507,26.3
156,1400000US11001009508,22.5
157,1400000US11001009601,22.1
158,1400000US11001009801,24.9
159,1400000US11001009803,30.0
160,1400000US11001009804,25.8
161,,
162,,
163,1400000US11001009901,24.1
164,1400000US11001009902,27.2
165,1400000US11001009903,27.6
166,1400000US11001009905,29.4
167,1400000US11001009907,28.0
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,1400000US11001001902,19.8
178,1400000US11001008100,21.7
179,1400000US11001000801,26.4
180,1400000US51059415100,21.1
181,,
182,1400000US51059416000,24.7
183,1400000US51059420100,23.4
184,1400000US51059420800,20.0
185,1400000US51059421200,20.1
186,1400000US51059421600,25.0
187,1400000US51059421800,28.7
188,,
189,,
190,,
191,1400000US51059430500,23.8
192,,
193,,
194,1400000US51059431900,23.8
195,1400000US51059432300,22.7
196,,
197,1400000US51059440600,19.4
198,1400000US51059450200,23.8
199,1400000US51059450500,24.1
200,,
201,1400000US51059451300,22.0
202,1400000US51059451900,23.9
203,,
204,,
205,,
206,1400000US51059460200,21.8
207,1400000US51059460300,20.0
208,1400000US51059460600,19.1
209,1400000US51059461000,17.4
210,,
211,,
212,1400000US51059470600,26.8
213,1400000US51059471000,19.8
214,,
215,,
216,,
217,,
218,1400000US51059481000,22.9
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,1400000US51013100100,18.5
232,1400000US51013100400,25.5
233,1400000US51013100800,23.6
234,,
235,,
236,,
237,1400000US51013101900,22.4
238,,
239,,
240,,
241,1400000US51013103402,23.0
242,,
243,1400000US51510200103,24.9
244,,
245,1400000US51510200301,23.3
246,,
247,1400000US51510200500,26.1
248,1400000US51510200600,27.7
249,,
250,,
251,1400000US51510200900,19.3
252,1400000US51510201204,21.2
253,1400000US51510201600,21.5
254,1400000US51510202001,17.1
255,,
256,1400000US51610500300,23.5
257,1400000US51059415200,21.3
258,1400000US51059415300,33.4
259,,
260,1400000US51059415500,27.0
261,1400000US51059415600,21.3
262,1400000US51059415700,26.9
263,1400000US51059415800,22.6
264,1400000US51059415900,21.9
265,1400000US51059416100,22.3
266,1400000US51059416200,28.3
267,1400000US51059416300,23.5
268,,
269,,
270,,
271,1400000US51059420300,21.5
272,,
273,,
274,,
275,1400000US51059420600,23.9
276,1400000US51059420700,21.5
277,,
278,,
279,,
280,,
281,,
282,1400000US51059421300,22.1
283,1400000US51059421400,24.2
284,1400000US51059421500,24.9
285,,
286,,
287,1400000US51059421900,37.7
288,1400000US51059422000,35.1
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,1400000US51059430400,20.1
301,1400000US51059430600,26.3
302,1400000US51059430700,21.1
303,,
304,,
305,,
306,,
307,,
308,1400000US51059431300,23.8
309,1400000US51059431400,21.4
310,1400000US51059431500,22.2
311,1400000US51059431600,25.0
312,,
313,1400000US51059432000,23.6
314,1400000US51059432100,22.3
315,,
316,,
317,,
318,,
319,1400000US51059432500,21.7
320,1400000US51059432600,26.8
321,,
322,1400000US51059432800,21.5
323,1400000US51059440100,31.5
324,,
325,,
326,1400000US51059440300,21.8
327,,
328,,
329,,
330,,
331,1400000US51059440800,34.9
332,1400000US51059450100,19.8
333,1400000US51059450300,22.5
334,1400000US51059450400,19.1
335,,
336,,
337,,
338,1400000US51059450800,25.5
339,1400000US51059450900,19.3
340,1400000US51059451000,26.5
341,1400000US51059451100,23.3
342,1400000US51059451200,32.7
343,1400000US51059451400,25.4
344,,
345,,
346,,
347,,
348,1400000US51059451800,16.4
349,1400000US51059452000,27.2
350,,
351,1400000US51059452200,22.1
352,,
353,,
354,1400000US51059452400,25.3
355,,
356,1400000US51059452600,23.4
357,1400000US51059452700,24.1
358,,
359,1400000US51059460100,31.1
360,1400000US51059460400,24.6
361,,
362,,
363,,
364,,
365,1400000US51059460800,27.9
366,1400000US51059460900,19.3
367,1400000US51059461100,20.6
368,,
369,,
370,1400000US51059461500,20.7
371,,
372,1400000US51059461700,22.5
373,,
374,,
375,,
376,1400000US51059470100,24.5
377,1400000US51059470300,28.4
378,1400000US51059470400,28.8
379,1400000US51059470500,24.3
380,1400000US51059470700,22.6
381,1400000US51059470800,28.5
382,1400000US51059470900,20.5
383,1400000US51059471100,22.2
384,,
385,,
386,,
387,,
388,,
389,,
390,1400000US51059480100,19.7
391,,
392,,
393,1400000US51059480300,20.0
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,1400000US51059481400,25.9
412,1400000US51059481500,27.1
413,1400000US51059481600,24.0
414,,
415,1400000US51059481900,26.2
416,,
417,1400000US51059482100,19.9
418,,
419,,
420,,
421,,
422,,
423,1400000US51059482400,19.7
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,1400000US51059491000,0.0
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,1400000US51059492000,15.3
453,1400000US51059492100,27.5
454,,
455,,
456,1400000US51059492300,22.3
457,1400000US51059492400,21.6
458,,
459,,
460,,
461,1400000US51013100200,20.1
462,1400000US51013100300,26.7
463,1400000US51013100500,19.1
464,1400000US51013100600,22.2
465,1400000US51013100700,20.6
466,1400000US51013100900,23.1
467,1400000US51013101000,22.8
468,1400000US51013101100,19.9
469,1400000US51013101200,28.5
470,1400000US51013101300,21.8
471,,
472,,
473,,
474,1400000US51013101500,20.9
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,1400000US51013102100,24.4
486,1400000US51013102200,27.1
487,,
488,1400000US51013102400,22.4
489,1400000US51013102500,25.2
490,1400000US51013102600,21.4
491,,
492,,
493,,
494,,
495,1400000US51013103000,19.6
496,1400000US51013103100,25.2
497,1400000US51013103200,23.7
498,1400000US51013103300,18.9
499,1400000US51013103401,32.5
500,,
501,,
502,,
503,,
504,1400000US51013103700,17.9
505,1400000US51013103800,22.2
506,,
507,,
508,,
509,1400000US51510201300,22.7
510,1400000US51510201400,21.8
511,1400000US51510201500,21.7
512,1400000US51510201801,21.8
513,1400000US51510201802,22.3
514,1400000US51510201900,20.1
515,1400000US51510202002,22.2
516,1400000US51510200102,23.2
517,1400000US51510200104,25.1
518,1400000US51510200105,23.7
519,,
520,1400000US51510200201,23.2
521,1400000US51510200202,22.1
522,1400000US51510200302,22.1
523,1400000US51510200303,24.9
524,,
525,,
526,,
527,,
528,,
529,1400000US51510200801,23.4
530,1400000US51510200802,23.6
531,1400000US51510201000,20.3
532,1400000US51510201100,20.4
533,1400000US51510201202,21.7
534,1400000US51510201203,23.9
535,,
536,,
537,,
538,,
539,1400000US51610500100,17.6
540,1400000US51610500200,25.3
541,1400000US51059420400,23.4
542,,
543,,
544,1400000US24031700304,23.3
545,1400000US24031700607,26.4
546,,
547,1400000US24031700710,21.9
548,,
549,,
550,1400000US24031700815,28.0
551,,
552,,
553,1400000US24033803001,23.5
554,1400000US24033803002,26.4
555,1400000US24033803100,26.6
556,1400000US24033803200,29.4
557,1400000US24033803512,29.7
558,1400000US24033803519,34.2
559,,
560,1400000US24033803613,24.9
561,1400000US24033804001,26.6
562,1400000US24033804400,30.1
563,1400000US24033804900,25.4
564,1400000US24033805601,23.2
565,1400000US24033805904,23.4
566,1400000US24033806200,23.0
567,1400000US24033806602,24.4
568,1400000US24033806712,22.7
569,1400000US24033807304,30.4
570,,
571,,
572,,
573,,
574,1400000US24031700901,26.5
575,1400000US24031701002,25.2
576,1400000US24031701102,23.8
577,1400000US24031701210,26.0
578,1400000US24031701215,22.1
579,1400000US24031701304,34.0
580,1400000US24031701313,35.5
581,1400000US24031701409,25.6
582,,
583,,
584,,
585,1400000US24031701900,23.4
586,1400000US24031702102,21.2
587,1400000US24031702500,26.2
588,1400000US24031703201,28.1
589,1400000US24031703209,27.0
590,,
591,1400000US24031703301,25.9
592,1400000US24031703402,19.2
593,1400000US24031703602,25.1
594,1400000US24031703902,23.9
595,,
596,,
597,1400000US24031705300,22.5
598,1400000US24031705601,24.1
599,1400000US24031705602,24.3
600,1400000US24031705701,24.1
601,1400000US24031705901,30.3
602,,
603,1400000US24033800106,27.5
604,1400000US24033800209,22.0
605,,
606,1400000US24033800408,14.2
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,1400000US24033801308,30.8
616,,
617,,
618,1400000US24033801702,24.4
619,1400000US24033801801,25.8
620,1400000US24033801805,22.7
621,1400000US24033802104,26.9
622,1400000US24033802203,25.6
623,1400000US24033802406,21.1
624,1400000US24033802600,24.9
625,1400000US24031700308,23.9
626,1400000US24031700309,22.4
627,1400000US24031700310,24.0
628,,
629,,
630,1400000US24031700400,18.8
631,1400000US24031700500,26.2
632,1400000US24031700604,26.3
633,1400000US24031700606,18.8
634,1400000US24031700608,50.0+
635,1400000US24031700610,22.1
636,,
637,,
638,,
639,,
640,1400000US24031700704,25.0
641,1400000US24031700706,24.7
642,1400000US24031700711,23.7
643,1400000US24031700713,22.7
644,1400000US24031700715,23.5
645,1400000US24031700716,19.0
646,,
647,,
648,,
649,,
650,,
651,,
652,1400000US24031700810,18.2
653,1400000US24031700811,23.5
654,1400000US24031700812,32.8
655,1400000US24031700101,17.8
656,1400000US24031700103,20.0
657,,
658,1400000US24031700204,23.6
659,1400000US24031700205,29.2
660,1400000US24031700206,25.5
661,,
662,,
663,1400000US24031700306,26.6
664,1400000US24031700813,24.1
665,1400000US24031700816,22.1
666,1400000US24031700817,24.7
667,1400000US24031700818,24.6
668,1400000US24031700819,23.4
669,,
670,,
671,1400000US24033803300,30.7
672,1400000US24033803401,44.2
673,1400000US24033803402,25.6
674,1400000US24033803508,26.4
675,1400000US24033803509,28.9
676,1400000US24033803513,23.4
677,1400000US24033803514,32.0
678,1400000US24033803516,27.5
679,1400000US24033806711,24.9
680,,
681,,
682,1400000US24033806800,19.6
683,1400000US24033806900,26.5
684,1400000US24033807000,29.7
685,1400000US24033807102,20.7
686,1400000US24033807200,44.3
687,1400000US24033807301,31.2
688,1400000US24033807305,32.2
689,1400000US24033807404,22.9
690,1400000US24033807407,22.6
691,1400000US24033807408,26.2
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,1400000US24033803601,40.7
702,1400000US24033803602,28.1
703,1400000US24033803605,20.7
704,1400000US24033803606,34.4
705,1400000US24033803608,22.4
706,1400000US24033803610,23.5
707,1400000US24033803612,26.4
708,1400000US24033803700,30.5
709,1400000US24033803801,23.8
710,1400000US24033803803,23.3
711,1400000US24033803900,29.0
712,1400000US24033804002,23.5
713,1400000US24033804101,20.3
714,1400000US24033804102,24.0
715,1400000US24033804200,21.9
716,1400000US24033804300,27.3
717,1400000US24033804600,19.8
718,1400000US24033804700,22.5
719,,
720,,
721,1400000US24033805000,28.1
722,1400000US24033805101,21.7
723,1400000US24033805201,22.7
724,1400000US24033805202,23.8
725,1400000US24033805500,26.4
726,1400000US24033805602,22.9
727,1400000US24033805700,28.8
728,1400000US24033805801,26.8
729,1400000US24033805802,22.5
730,,
731,,
732,,
733,,
734,1400000US24033806000,23.5
735,1400000US24033806100,23.4
736,1400000US24033806300,23.6
737,1400000US24033806400,26.1
738,1400000US24033806501,23.8
739,1400000US24033806601,27.3
740,1400000US24033806706,20.3
741,1400000US24033806708,23.2
742,1400000US24033806710,23.7
743,1400000US24033803607,37.5
744,1400000US24031701417,24.2
745,,
746,1400000US24033807405,23.1
747,1400000US24031704502,22.7
748,,
749,,
750,,
751,,
752,1400000US24031700902,22.3
753,1400000US24031700903,21.5
754,1400000US24031700904,24.3
755,1400000US24031700905,30.9
756,1400000US24031701001,26.6
757,1400000US24031701004,23.3
758,1400000US24031701005,20.0
759,,
760,,
761,1400000US24031701101,25.1
762,1400000US24031701201,22.4
763,1400000US24031701202,20.0
764,1400000US24031701205,25.9
765,1400000US24031701206,36.4
766,1400000US24031701211,25.4
767,1400000US24031701212,20.5
768,1400000US24031701213,21.3
769,1400000US24031701214,20.6
770,,
771,,
772,,
773,,
774,,
775,1400000US24031701303,41.2
776,1400000US24031701306,23.6
777,1400000US24031701307,15.6
778,1400000US24031701308,20.5
779,1400000US24031701312,25.6
780,,
781,,
782,,
783,,
784,1400000US24031701408,16.2
785,1400000US24031701410,23.6
786,1400000US24031701414,26.8
787,1400000US24031701415,18.9
788,,
789,,
790,,
791,,
792,1400000US24031701503,29.3
793,1400000US24031701505,24.4
794,1400000US24031701506,38.4
795,1400000US24031701507,36.9
796,,
797,,
798,1400000US24031701701,24.9
799,1400000US24031701702,23.6
800,1400000US24031701703,25.3
801,1400000US24031701704,21.5
802,1400000US24031701800,25.6
803,1400000US24031702000,26.6
804,1400000US24031702101,27.0
805,1400000US24031701407,26.8
806,1400000US24031702200,21.7
807,1400000US24031702301,25.9
808,1400000US24031702302,23.1
809,1400000US24031702401,27.5
810,1400000US24031702402,25.1
811,1400000US24031702601,25.9
812,1400000US24031702602,22.9
813,1400000US24031702700,22.4
814,1400000US24031702800,23.3
815,1400000US24031702900,24.8
816,1400000US24031703000,18.9
817,1400000US24031703100,31.8
818,1400000US24031703202,26.9
819,1400000US24031703206,25.2
820,1400000US24031703207,23.8
821,1400000US24031703208,30.0
822,1400000US24031703210,14.1
823,1400000US24031703212,22.8
824,1400000US24031703213,26.0
825,1400000US24031703214,25.1
826,1400000US24031703215,26.6
827,,
828,,
829,,
830,,
831,1400000US24031703302,23.1
832,1400000US24031703401,24.3
833,1400000US24031703403,28.8
834,1400000US24031703404,20.2
835,1400000US24031703501,25.0
836,1400000US24031703502,27.1
837,1400000US24031703601,22.5
838,1400000US24031703701,21.8
839,1400000US24031703702,21.5
840,1400000US24031703800,24.8
841,1400000US24031703901,26.3
842,1400000US24031704000,26.3
843,1400000US24031704100,49.4
844,1400000US24031704200,25.4
845,1400000US24031704300,17.7
846,1400000US24031704401,22.1
847,,
848,1400000US24031704501,20.9
849,1400000US24031704503,20.8
850,1400000US24031704600,24.6
851,1400000US24031704700,22.7
852,,
853,,
854,,
855,1400000US24031705000,42.0
856,1400000US24031705100,25.6
857,1400000US24031705200,20.7
858,1400000US24031705400,18.8
859,,
860,,
861,1400000US24031705702,21.4
862,1400000US24031705800,25.0
863,1400000US24031705902,14.1
864,1400000US24031705903,19.4
865,1400000US24031706005,36.7
866,1400000US24031706007,25.5
867,1400000US24031706008,20.7
868,1400000US24031706009,29.3
869,,
870,,
871,,
872,1400000US24033800102,27.0
873,1400000US24033800103,24.8
874,1400000US24033800105,24.2
875,,
876,,
877,1400000US24033800203,18.4
878,1400000US24033800206,22.8
879,1400000US24033800208,22.7
880,1400000US24033800210,25.1
881,1400000US24033800211,29.8
882,,
883,,
884,,
885,1400000US24033800401,22.9
886,1400000US24033800402,23.9
887,1400000US24033800403,20.0
888,1400000US24033800409,22.1
889,,
890,,
891,,
892,1400000US24033800504,19.3
893,1400000US24033800505,20.8
894,1400000US24033800507,23.8
895,1400000US24033800509,15.2
896,1400000US24033800511,21.4
897,,
898,,
899,,
900,,
901,,
902,,
903,1400000US24033800601,50.0+
904,1400000US24033800604,23.5
905,1400000US24033800605,22.4
906,1400000US24033800606,25.4
907,,
908,,
909,1400000US24033800701,21.3
910,,
911,,
912,,
913,1400000US24033800800,20.0
914,1400000US24033800900,16.3
915,,
916,,
917,1400000US24033801104,24.3
918,1400000US24033801207,21.7
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,1400000US24033801302,18.5
928,1400000US24033801305,15.8
929,1400000US24033801307,19.5
930,1400000US24033801309,23.6
931,,
932,,
933,,
934,1400000US24033801404,22.4
935,1400000US24033801405,25.1
936,1400000US24033801406,21.8
937,1400000US24033801407,23.5
938,,
939,,
940,,
941,1400000US24033801500,36.3
942,1400000US24033801600,29.5
943,1400000US24033801701,23.3
944,1400000US24033801704,25.1
945,1400000US24033801706,24.1
946,1400000US24033801707,26.1
947,1400000US24033801708,26.4
948,1400000US24033801802,25.1
949,1400000US24033801804,27.7
950,1400000US24033801807,24.4
951,1400000US24033801808,24.0
952,1400000US24033801901,30.9
953,1400000US24033801904,25.9
954,1400000US24033801905,21.5
955,1400000US24033801906,23.7
956,,
957,1400000US24033802001,23.2
958,1400000US24033802002,18.6
959,1400000US24033802103,26.1
960,,
961,,
962,1400000US24033802201,22.6
963,1400000US24033802204,27.7
964,1400000US24033802301,27.6
965,1400000US24033802404,23.8
966,1400000US24033802405,23.8
967,,
968,,
969,1400000US24033802501,25.9
970,1400000US24033802502,23.3
971,1400000US24033802700,23.1
972,1400000US24033802803,28.0
973,1400000US24033802804,25.6
974,1400000US24033802805,28.4
975,1400000US24033802901,27.8
